Number of Nodes,Operation,Hops
2000,insert,11
2000,search,11
2000,insert,14
2000,search,14
2000,insert,8
2000,search,8
2000,insert,9
2000,search,9
2000,insert,10
2000,search,10
2000,insert,4
2000,search,4
2000,insert,10
2000,search,10
2000,insert,10
2000,search,10
2000,insert,12
2000,search,12
2000,insert,8
2000,search,8
2000,insert,11
2000,search,11
2000,insert,10
2000,search,10
2000,insert,11
2000,search,11
2000,insert,12
2000,search,12
2000,insert,5
2000,search,5
2000,insert,8
2000,search,8
2000,insert,10
2000,search,10
2000,insert,8
2000,search,8
2000,insert,10
2000,search,10
2000,insert,11
2000,search,11
2000,insert,8
2000,search,8
2000,insert,11
2000,search,11
2000,insert,7
2000,search,7
2000,insert,11
2000,search,11
2000,insert,8
2000,search,8
2000,insert,10
2000,search,10
5000,insert,10
5000,search,10
5000,insert,8
5000,search,8
5000,insert,10
5000,search,10
5000,insert,10
5000,search,10
5000,insert,11
5000,search,11
5000,insert,4
5000,search,4
5000,insert,9
5000,search,9
5000,insert,10
5000,search,10
5000,insert,12
5000,search,12
5000,insert,13
5000,search,13
5000,insert,8
5000,search,8
5000,insert,7
5000,search,7
5000,insert,9
5000,search,9
5000,insert,15
5000,search,15
5000,insert,8
5000,search,8
5000,insert,9
5000,search,9
5000,insert,6
5000,search,6
5000,insert,8
5000,search,8
5000,insert,9
5000,search,9
5000,insert,12
5000,search,12
5000,insert,9
5000,search,9
5000,insert,9
5000,search,9
5000,insert,8
5000,search,8
5000,insert,5
5000,search,5
5000,insert,10
5000,search,10
5000,insert,12
5000,search,12
5000,insert,6
5000,search,6
5000,insert,8
5000,search,8
5000,insert,12
5000,search,12
5000,insert,5
5000,search,5
5000,insert,8
5000,search,8
5000,insert,12
5000,search,12
5000,insert,10
5000,search,10
5000,insert,7
5000,search,7
5000,insert,9
5000,search,9
5000,insert,10
5000,search,10
5000,insert,12
5000,search,12
5000,insert,11
5000,search,11
5000,insert,11
5000,search,11
5000,insert,8
5000,search,8
5000,insert,9
5000,search,9
5000,insert,13
5000,search,13
5000,insert,8
5000,search,8
5000,insert,12
5000,search,12
5000,insert,12
5000,search,12
5000,insert,10
5000,search,10
5000,insert,6
5000,search,6
5000,insert,6
5000,search,6
5000,insert,13
5000,search,13
5000,insert,12
5000,search,12
5000,insert,10
5000,search,10
5000,insert,10
5000,search,10
5000,insert,13
5000,search,13
5000,insert,11
5000,search,11
5000,insert,8
5000,search,8
5000,insert,12
5000,search,12
5000,insert,11
5000,search,11
5000,insert,13
5000,search,13
5000,insert,13
5000,search,13
5000,insert,10
5000,search,10
5000,insert,12
5000,search,12
5000,insert,8
5000,search,8
5000,insert,7
5000,search,7
5000,insert,10
5000,search,10
5000,insert,9
5000,search,9
5000,insert,12
5000,search,12
5000,insert,4
5000,search,4
5000,insert,7
5000,search,7
5000,insert,7
5000,search,7
5000,insert,7
5000,search,7
5000,insert,10
5000,search,10
5000,insert,8
5000,search,8
5000,insert,10
5000,search,10
5000,insert,9
5000,search,9
5000,insert,8
5000,search,8
5000,insert,8
5000,search,8
5000,insert,8
5000,search,8
5000,insert,9
5000,search,9
5000,insert,10
5000,search,10
5000,insert,9
5000,search,9
5000,insert,8
5000,search,8
5000,insert,10
5000,search,10
5000,insert,12
5000,search,12
5000,insert,13
5000,search,13
5000,insert,11
5000,search,11
5000,insert,11
5000,search,11
5000,insert,9
5000,search,9
5000,insert,12
5000,search,12
5000,insert,8
5000,search,8
5000,insert,10
5000,search,10
5000,insert,10
5000,search,10
5000,insert,11
5000,search,11
5000,insert,14
5000,search,14
5000,insert,9
5000,search,9
5000,insert,9
5000,search,9
5000,insert,8
5000,search,8
5000,insert,7
5000,search,7
5000,insert,10
5000,search,10
5000,insert,9
5000,search,9
5000,insert,12
5000,search,12
10000,insert,13
10000,search,13
10000,insert,11
10000,search,11
10000,insert,13
10000,search,13
10000,insert,15
10000,search,15
10000,insert,7
10000,search,7
10000,insert,13
10000,search,13
10000,insert,7
10000,search,7
10000,insert,10
10000,search,10
10000,insert,11
10000,search,11
10000,insert,8
10000,search,8
10000,insert,11
10000,search,11
10000,insert,16
10000,search,16
10000,insert,14
10000,search,14
10000,insert,9
10000,search,9
10000,insert,15
10000,search,15
10000,insert,11
10000,search,11
10000,insert,13
10000,search,13
10000,insert,12
10000,search,12
10000,insert,12
10000,search,12
10000,insert,9
10000,search,9
10000,insert,13
10000,search,13
10000,insert,14
10000,search,14
10000,insert,10
10000,search,10
10000,insert,12
10000,search,12
10000,insert,11
10000,search,11
10000,insert,11
10000,search,11
10000,insert,7
10000,search,7
10000,insert,9
10000,search,9
10000,insert,8
10000,search,8
10000,insert,11
10000,search,11
10000,insert,14
10000,search,14
10000,insert,14
10000,search,14
10000,insert,12
10000,search,12
10000,insert,10
10000,search,10
10000,insert,9
10000,search,9
10000,insert,9
10000,search,9
10000,insert,10
10000,search,10
10000,insert,7
10000,search,7
10000,insert,14
10000,search,14
10000,insert,11
10000,search,11
10000,insert,12
10000,search,12
10000,insert,6
10000,search,6
10000,insert,15
10000,search,15
10000,insert,7
10000,search,7
10000,insert,9
10000,search,9
10000,insert,9
10000,search,9
10000,insert,12
10000,search,12
10000,insert,10
10000,search,10
10000,insert,17
10000,search,17
10000,insert,7
10000,search,7
10000,insert,9
10000,search,9
10000,insert,13
10000,search,13
10000,insert,10
10000,search,10
10000,insert,11
10000,search,11
10000,insert,8
10000,search,8
10000,insert,12
10000,search,12
10000,insert,9
10000,search,9
10000,insert,6
10000,search,6
10000,insert,7
10000,search,7
10000,insert,11
10000,search,11
10000,insert,8
10000,search,8
10000,insert,8
10000,search,8
10000,insert,17
10000,search,17
10000,insert,10
10000,search,10
10000,insert,12
10000,search,12
10000,insert,10
10000,search,10
10000,insert,19
10000,search,19
10000,insert,12
10000,search,12
10000,insert,12
10000,search,12
10000,insert,14
10000,search,14
10000,insert,11
10000,search,11
10000,insert,10
10000,search,10
10000,insert,7
10000,search,7
10000,insert,11
10000,search,11
10000,insert,10
10000,search,10
10000,insert,10
10000,search,10
10000,insert,12
10000,search,12
10000,insert,12
10000,search,12
10000,insert,10
10000,search,10
10000,insert,8
10000,search,8
10000,insert,8
10000,search,8
10000,insert,14
10000,search,14
10000,insert,18
10000,search,18
10000,insert,14
10000,search,14
10000,insert,8
10000,search,8
10000,insert,6
10000,search,6
10000,insert,8
10000,search,8
10000,insert,13
10000,search,13
10000,insert,8
10000,search,8
10000,insert,10
10000,search,10
10000,insert,11
10000,search,11
10000,insert,6
10000,search,6
10000,insert,15
10000,search,15
10000,insert,7
10000,search,7
10000,insert,14
10000,search,14
10000,insert,7
10000,search,7
10000,insert,14
10000,search,14
10000,insert,8
10000,search,8
10000,insert,12
10000,search,12
10000,insert,12
10000,search,12
